Name,SecId,Enhanced Index,Index Fund
Federated Hermes Mid-Cap Index Svc,FOUSA00CCR,No,Yes
T. Rowe Price Equity Index 500 I,F00000VWMS,No,Yes
T. Rowe Price Equity Index 500 Z,F000014VOB,No,Yes
T. Rowe Price Equity Index 500,FOUSA00EJ0,No,Yes
Rydex Inverse Government Lg Bd Strat H,F00000UEU7,No,Yes
Rydex Inverse Government Lg Bd Strat Inv,FOUSA00FP5,No,Yes
Rydex Inverse Government Lg Bd Strat C,FOUSA02VDR,No,Yes
Rydex Inverse Government Lg Bd Strat A,FOUSA0575U,No,Yes
Vanguard 500 Index Institutional Select,F00000WTNP,No,Yes
Vanguard 500 Index Investor,FOUSA00FS1,No,Yes
Vanguard 500 Index Admiral,FOUSA00L8W,No,Yes
Allspring Index Admin,FOUSA00FUA,No,Yes
Allspring Index C,FOUSA00G93,No,Yes
Allspring Index A,FOUSA00JBI,No,Yes
Vanguard Total Bond Market Idx InstlPls,F000004494,No,Yes
Vanguard Total Bond Market Idx Instl Sel,F00000WTNT,No,Yes
Vanguard Total Bond Market Index I,FOUSA00DIL,No,Yes
Vanguard Total Bond Market Index Inv,FOUSA00FQH,No,Yes
Vanguard Total Bond Market Index Adm,FOUSA02TYI,No,Yes
PGIM Quant Solutions Stock Index R6,F00000ZI0S,No,Yes
PGIM Quant Solutions Stock Index Z,FOUSA00F90,No,Yes
PGIM Quant Solutions Stock Index I,FOUSA00GWJ,No,Yes
PGIM Quant Solutions Stock Index C,FOUSA00H9O,No,Yes
PGIM Quant Solutions Stock Index A,FOUSA00IOO,No,Yes
Schwab International Index,FOUSA00GPS,No,Yes
Vanguard Extended Market Index InstlPlus,F00000JXVS,No,Yes
Vanguard Extended Market Index Instl Sel,F00000WTNQ,No,Yes
Vanguard Extended Market Index Investor,FOUSA00FQR,No,Yes
Vanguard Extended Market Index Instl,FOUSA00GPW,No,Yes
Vanguard Extended Market Index Admiral,FOUSA00LB6,No,Yes
Rydex NASDAQ-100? 2x Strategy H,FOUSA00G4S,No,Yes
Rydex NASDAQ-100? 2x Strategy C,FOUSA02VDT,No,Yes
Rydex NASDAQ-100? 2x Strategy A,FOUSA059JO,No,Yes
Vanguard European Stock Index Instl Plus,F00000JXVO,No,Yes
Vanguard European Stock Index Investor,FOUSA00FR8,No,Yes
Vanguard European Stock Index Instl,FOUSA00GTI,No,Yes
Vanguard European Stock Index Admiral,FOUSA02TIO,No,Yes
Vanguard Pacific Stock Index Investor,FOUSA00FR9,No,Yes
Vanguard Pacific Stock Index Instl,FOUSA00HIY,No,Yes
Vanguard Pacific Stock Index Admiral,FOUSA02TIQ,No,Yes
Nationwide International Index Instl Svc,F00000XUPA,No,Yes
Nationwide International Index A,FOUSA005A6,No,Yes
Nationwide International Index R6,FOUSA006J2,No,Yes
Nationwide International Index C,FOUSA05BWQ,No,Yes
Nationwide International Index R,FOUSA05GXU,No,Yes
Calvert US Large Cap Core Rspnb Idx R6,F00000ZKH4,No,Yes
Calvert US Large Cap Core Rspnb Idx A,FOUSA005BX,No,Yes
Calvert US Large Cap Core Rspnb Idx I,FOUSA007GA,No,Yes
Calvert US Large Cap Core Rspnb Idx C,FOUSA007W9,No,Yes
iShares Russell 2000 Small-Cap Idx K,F00000LXVK,No,Yes
iShares Russell 2000 Small-Cap Idx Inv P,F000010EBI,No,Yes
iShares Russell 2000 Small-Cap Idx Inv A,FOUSA00GAS,No,Yes
iShares Russell 2000 Small-Cap Idx Instl,FOUSA00GFB,No,Yes
T. Rowe Price Total Equity Market Idx,FOUSA00GIU,No,Yes
Rydex Nova H,F00000UEUB,No,Yes
Rydex Nova Inv,FOUSA00FSJ,No,Yes
Rydex Nova C,FOUSA02VDY,No,Yes
Rydex Nova A,FOUSA0575Z,No,Yes
iShares MSCI EAFE Intl Idx K,F00000LXVJ,No,Yes
iShares MSCI EAFE Intl Idx Inv P,F000010EBH,No,Yes
iShares MSCI EAFE Intl Idx Instl,FOUSA00GEF,No,Yes
iShares MSCI EAFE Intl Idx Inv A,FOUSA00JH4,No,Yes
Vanguard Small Cap Value Index Admiral,F00000MPYG,No,Yes
Vanguard Small Cap Value Index Inv,FOUSA00GMV,No,Yes
Vanguard Small Cap Value Index I,FOUSA00K2U,No,Yes
Empower Bond Index Institutional,F00000VEH8,No,Yes
Empower Bond Index Inv,FOUSA00GSW,No,Yes
BNY Mellon Small Cap Stock Index I,F00000XF1I,No,Yes
BNY Mellon Small Cap Stock Index Inv,FOUSA00GVR,No,Yes
